"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 21:50:33 UTC 2025","Sun Jul 13 21:50:53 UTC 2025","19952","","WebdriverUniversity.com - Contact Us Page","","Invalid Contact Us Form Submission","","Invalid Contact Us Form Submission",""
"passed","Sun Jul 13 21:50:54 UTC 2025","Sun Jul 13 21:50:59 UTC 2025","4551","","WebdriverUniversity.com - Login Page","","Positive & Negative Login scenarios","","Positive & Negative Login scenarios",""
"passed","Sun Jul 13 21:50:53 UTC 2025","Sun Jul 13 21:50:59 UTC 2025","5651","","WebdriverUniversity.com - Contact Us Page","","Valid Contact Us Form Submission - Using different data","","Valid Contact Us Form Submission - Using different data",""
"passed","Sun Jul 13 21:50:33 UTC 2025","Sun Jul 13 21:50:54 UTC 2025","20668","","WebdriverUniversity.com - Contact Us Page","","Valid Contact Us Form Submission - Using different data","","Valid Contact Us Form Submission - Using different data",""
"passed","Sun Jul 13 21:50:33 UTC 2025","Sun Jul 13 21:50:54 UTC 2025","20686","","WebdriverUniversity.com - Contact Us Page","","Valid Contact Us Form Submission","","Valid Contact Us Form Submission",""
"passed","Sun Jul 13 21:50:33 UTC 2025","Sun Jul 13 21:50:54 UTC 2025","20862","","WebdriverUniversity.com - Contact Us Page","","Valid Contact Us Form Submission - Using random data","","Valid Contact Us Form Submission - Using random data",""
"passed","Sun Jul 13 21:50:54 UTC 2025","Sun Jul 13 21:50:58 UTC 2025","4357","","WebdriverUniversity.com - Login Page","","Positive & Negative Login scenarios","","Positive & Negative Login scenarios",""
